date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_score_rolling
1913-04-20,France,Luxembourg,8.0,0.0,Friendly,Saint-Ouen,France,False,1.95
1914-01-25,France,Belgium,4.0,3.0,Friendly,Lille,France,False,1.9
1914-03-08,France,Switzerland,2.0,2.0,Friendly,Saint-Ouen,France,False,2.0
1920-03-28,France,Belgium,2.0,1.0,Friendly,Paris,France,False,2.0
1921-02-20,France,Italy,1.0,2.0,Friendly,Marseille,France,False,2.0
1921-11-13,France,Netherlands,0.0,5.0,Friendly,Vincennes,France,False,2.0
1922-01-15,France,Belgium,2.0,1.0,Friendly,Colombes,France,False,2.0
1922-04-30,France,Spain,0.0,4.0,Friendly,Le Bouscat,France,False,2.15
1923-04-22,France,Switzerland,2.0,2.0,Friendly,Vincennes,France,False,2.0
1923-05-10,France,England,1.0,4.0,Friendly,Vincennes,France,False,1.85
1923-10-28,France,Norway,0.0,2.0,Friendly,Paris,France,False,2.0
1924-01-13,France,Belgium,2.0,0.0,Friendly,Montrouge,France,False,1.75
1924-05-17,France,England,1.0,3.0,Friendly,Vincennes,France,False,1.6
1924-06-04,France,Hungary,0.0,1.0,Friendly,Le Havre,France,False,1.5
1925-04-19,France,Austria,0.0,4.0,Friendly,Vincennes,France,False,1.6
1925-05-21,France,England,2.0,3.0,Friendly,Colombes,France,False,1.65
1926-04-11,France,Belgium,4.0,3.0,Friendly,Vincennes,France,False,1.7
1926-04-18,France,Portugal,4.0,2.0,Friendly,Toulouse,France,False,1.6
1926-04-25,France,Switzerland,1.0,0.0,Friendly,Colombes,France,False,1.65
1926-06-13,France,Yugoslavia,4.0,1.0,Friendly,Colombes,France,False,1.7
1927-04-24,France,Italy,3.0,3.0,Friendly,Colombes,France,False,1.75
1927-05-22,France,Spain,1.0,4.0,Friendly,Colombes,France,False,1.8
1927-05-26,France,England,0.0,6.0,Friendly,Colombes,France,False,1.75
1928-02-21,France,Northern Ireland,4.0,0.0,Friendly,Montrouge,France,False,1.85
1928-04-15,France,Belgium,2.0,3.0,Friendly,Colombes,France,False,1.9
1928-04-29,France,Portugal,1.0,1.0,Friendly,Paris,France,False,2.0
1928-05-13,France,Czechoslovakia,0.0,2.0,Friendly,Colombes,France,False,1.9
1928-05-17,France,England,1.0,5.0,Friendly,Colombes,France,False,1.8
1929-02-24,France,Hungary,3.0,0.0,Friendly,Colombes,France,False,1.65
1929-03-24,France,Portugal,2.0,0.0,Friendly,Colombes,France,False,1.65
1929-05-09,France,England,1.0,4.0,Friendly,Colombes,France,False,1.7
1929-05-19,France,Yugoslavia,1.0,3.0,Friendly,Colombes,France,False,1.7
1930-03-23,France,Switzerland,3.0,3.0,Friendly,Colombes,France,False,1.7
1930-04-13,France,Belgium,1.0,6.0,Friendly,Colombes,France,False,1.75
1930-05-11,France,Czechoslovakia,2.0,3.0,Friendly,Colombes,France,False,1.55
1930-05-18,France,Scotland,0.0,2.0,Friendly,Colombes,France,False,1.6
1930-12-07,France,Belgium,2.0,2.0,Friendly,Montrouge,France,False,1.6
1931-02-15,France,Czechoslovakia,1.0,2.0,Friendly,Colombes,France,False,1.65
1931-03-15,France,Germany,1.0,0.0,Friendly,Colombes,France,False,1.6
1931-05-14,France,England,5.0,2.0,Friendly,Colombes,France,False,1.5
1931-11-29,France,Netherlands,3.0,4.0,Friendly,Colombes,France,False,1.55
1932-04-10,France,Italy,1.0,2.0,Friendly,Colombes,France,False,1.55
1932-05-08,France,Scotland,1.0,3.0,Friendly,Colombes,France,False,1.6
1933-02-12,France,Austria,0.0,4.0,Friendly,Paris,France,False,1.55
1933-03-26,France,Belgium,3.0,0.0,Friendly,Colombes,France,False,1.55
1933-04-23,France,Spain,1.0,0.0,Friendly,Colombes,France,False,1.45
1933-05-25,France,Wales,1.0,1.0,Friendly,Colombes,France,False,1.6
1934-03-11,France,Switzerland,0.0,1.0,Friendly,Paris,France,False,1.55
1934-03-25,France,Czechoslovakia,1.0,2.0,Friendly,Colombes,France,False,1.55
1934-12-16,France,Yugoslavia,3.0,2.0,Friendly,Paris,France,False,1.5
1935-03-17,France,Germany,1.0,3.0,Friendly,Paris,France,False,1.35
1935-05-19,France,Hungary,2.0,0.0,Friendly,Colombes,France,False,1.2
1935-11-10,France,Sweden,2.0,0.0,Friendly,Paris,France,False,1.4
1936-01-12,France,Netherlands,1.0,6.0,Friendly,Paris,France,False,1.65
1936-02-09,France,Czechoslovakia,0.0,3.0,Friendly,Paris,France,False,1.75
1936-03-08,France,Belgium,3.0,0.0,Friendly,Colombes,France,False,1.75
1936-12-13,France,Yugoslavia,1.0,0.0,Friendly,Paris,France,False,1.75
1937-01-24,France,Austria,1.0,2.0,Friendly,Paris,France,False,1.9
1937-05-23,France,Republic of Ireland,0.0,2.0,Friendly,Colombes,France,False,2.0
1937-10-10,France,Switzerland,2.0,1.0,Friendly,Paris,France,False,2.05
1937-12-05,France,Italy,0.0,0.0,Friendly,Paris,France,False,2.05
1938-01-30,France,Belgium,5.0,3.0,Friendly,Paris,France,False,2.0
1938-03-24,France,Bulgaria,6.0,1.0,Friendly,Paris,France,False,2.05
1938-05-26,France,England,2.0,4.0,Friendly,Colombes,France,False,2.1
1938-06-05,France,Belgium,3.0,1.0,FIFA World Cup,Colombes,France,False,2.2
1938-06-12,France,Italy,1.0,3.0,FIFA World Cup,Colombes,France,False,2.3
1939-01-22,France,Poland,4.0,0.0,Friendly,Paris,France,False,2.2
1939-03-16,France,Hungary,2.0,2.0,Friendly,Paris,France,False,2.35
1939-05-20,France,Wales,2.0,1.0,Friendly,Colombes,France,False,2.5
1940-01-28,France,Portugal,3.0,2.0,Friendly,Paris,France,False,2.55
1942-03-08,France,Switzerland,0.0,2.0,Friendly,Marseille,France,False,2.6
1944-12-24,France,Belgium,3.0,1.0,Friendly,Paris,France,False,2.75
1946-04-07,France,Czechoslovakia,3.0,0.0,Friendly,Colombes,France,False,2.55
1946-05-05,France,Austria,3.0,1.0,Friendly,Colombes,France,False,2.45
1946-05-19,France,England,2.0,1.0,Friendly,Colombes,France,False,2.4
1947-03-23,France,Portugal,1.0,0.0,Friendly,Colombes,France,False,2.3
1947-05-26,France,Netherlands,4.0,0.0,Friendly,Colombes,France,False,2.3
1947-06-01,France,Belgium,4.0,2.0,Friendly,Colombes,France,False,2.1
1948-04-04,France,Italy,1.0,3.0,Friendly,Colombes,France,False,2.15
1948-05-23,France,Scotland,3.0,0.0,Friendly,Colombes,France,False,2.3
1948-10-17,France,Belgium,3.0,3.0,Friendly,Colombes,France,False,2.25
1949-05-22,France,England,1.0,3.0,Friendly,Colombes,France,False,2.35
1949-06-04,France,Switzerland,4.0,2.0,Friendly,Colombes,France,False,2.2
1949-06-19,France,Spain,1.0,5.0,Friendly,Colombes,France,False,2.2
1949-10-30,France,Yugoslavia,1.0,1.0,FIFA World Cup qualification,Colombes,France,False,2.2
1949-11-13,France,Czechoslovakia,1.0,0.0,Friendly,Colombes,France,False,2.25
1950-05-27,France,Scotland,0.0,1.0,Friendly,Colombes,France,False,2.2
1950-11-01,France,Belgium,3.0,3.0,Friendly,Colombes,France,False,2.3
1950-12-10,France,Netherlands,5.0,2.0,Friendly,Colombes,France,False,2.2
1951-02-06,France,Yugoslavia,2.0,1.0,Friendly,Paris,France,False,2.2
1951-11-01,France,Austria,2.0,2.0,Friendly,Colombes,France,False,2.45
1952-03-26,France,Sweden,0.0,1.0,Friendly,Paris,France,False,2.35
1952-04-20,France,Portugal,3.0,0.0,Friendly,Colombes,France,False,2.4
1952-10-05,France,Germany,3.0,1.0,Friendly,Colombes,France,False,2.3
1952-11-11,France,Northern Ireland,3.0,1.0,Friendly,Colombes,France,False,2.3
1952-12-25,France,Belgium,0.0,1.0,Friendly,Colombes,France,False,2.3
1953-05-14,France,Wales,6.0,1.0,Friendly,Colombes,France,False,2.4
