,home_team,home_score,away_score
0,Abkhazia,36.0,11.0
1,Afghanistan,52.0,63.0
2,Albania,210.0,210.0
3,Alderney,5.0,27.0
4,Algeria,549.0,254.0
5,American Samoa,24.0,140.0
6,Andalusia,23.0,13.0
7,Andorra,33.0,204.0
8,Angola,254.0,154.0
9,Anguilla,14.0,62.0
10,Antigua and Barbuda,171.0,147.0
11,Arameans Suryoye,6.0,4.0
12,Argentina,1227.0,483.0
13,Armenia,130.0,168.0
14,Artsakh,12.0,9.0
15,Aruba,91.0,135.0
16,Australia,692.0,319.0
17,Austria,859.0,574.0
18,Azerbaijan,110.0,151.0
19,Bahamas,31.0,38.0
20,Bahrain,442.0,330.0
21,Bangladesh,130.0,213.0
22,Barawa,16.0,41.0
23,Barbados,229.0,215.0
24,Basque Country,85.0,36.0
25,Belarus,164.0,155.0
26,Belgium,867.0,565.0
27,Belize,52.0,54.0
28,Benin,165.0,189.0
29,Bermuda,173.0,130.0
30,Bhutan,28.0,79.0
31,Bolivia,347.0,395.0
32,Bonaire,10.0,31.0
33,Bosnia and Herzegovina,182.0,134.0
34,Botswana,147.0,162.0
35,Brazil,1442.0,477.0
36,British Virgin Islands,52.0,99.0
37,Brittany,13.0,11.0
38,Brunei,24.0,79.0
39,Bulgaria,538.0,377.0
40,Burkina Faso,290.0,207.0
41,Burundi,108.0,81.0
42,Cambodia,181.0,249.0
43,Cameroon,429.0,214.0
44,Canada,256.0,203.0
45,Canary Islands,11.0,3.0
46,Cape Verde,122.0,91.0
47,Cascadia,10.0,3.0
48,Catalonia,67.0,57.0
49,Cayman Islands,67.0,131.0
50,Central African Republic,68.0,80.0
51,Central Spain,1.0,0.0
52,Chad,65.0,81.0
53,Chagos Islands,7.0,28.0
54,Chameria,4.0,0.0
55,Chile,740.0,480.0
56,China PR,741.0,331.0
57,Colombia,380.0,266.0
58,Comoros,25.0,33.0
59,Congo,282.0,214.0
60,Cook Islands,22.0,88.0
61,Corsica,8.0,5.0
62,Costa Rica,642.0,256.0
63,County of Nice,7.0,5.0
64,Croatia,339.0,143.0
65,Cuba,251.0,161.0
66,Curaçao,309.0,183.0
67,Cyprus,231.0,359.0
68,Czech Republic,334.0,136.0
69,Czechoslovakia,549.0,279.0
70,DR Congo,361.0,189.0
71,Darfur,0.0,69.0
72,Denmark,898.0,507.0
73,Djibouti,33.0,135.0
74,Dominica,133.0,186.0
